Project,CurrencyLinks,Starts in,Sale info
Noypi Project,Solana,https://twitter.com/NoypiProjectNFT,"5/15/2022, 10:33:00 PM",Sale: 1.25 SOL
NFTyRacer,Solana,https://twitter.com/NFTyRacer,"5/15/2022, 11:00:00 PM",Sale: 2 SOL
Secret Council of Alien Rulers,Ethereum,https://twitter.com/SCAlienRulers,"5/16/2022, 12:00:00 AM",Pre-sale: 0.12 ETH
00RR0R v2,Solana,https://twitter.com/00RR0R,"5/16/2022, 12:00:00 AM",Sale: 0 SOL
Rogue Dice Club,Ethereum,https://twitter.com/RogueDiceClub,"5/16/2022, 8:00:00 AM",Sale: 0.15 ETH
Mutant Goblin,Ethereum,https://twitter.com/MutantGoblin_,"5/16/2022, 10:00:00 AM",Pre-sale: 0.03 ETH
TradeBots,Solana,https://twitter.com/tradebots_sol/,"5/16/2022, 1:00:00 PM",Sale: 3 SOL
FoxNationDAO,Ethereum,https://twitter.com/FoxNationDAO,"5/16/2022, 6:00:00 PM",Sale: 0.07 ETH
Alpha Cryptonians,Solana,https://twitter.com/TrueCryptonians,"5/16/2022, 6:00:00 PM",Sale: 0.79 SOL
Creative Friendz,Ethereum,https://twitter.com/CreativeFriendz,"5/16/2022, 6:00:00 PM",Pre-sale: 0.06 ETH
SOL Mafia,Solana,https://twitter.com/SOLMafiaNFTs,"5/16/2022, 10:30:00 PM",Sale: 1.25 SOL
Dope Skeleton,Ethereum,https://twitter.com/DopeskeletonNFT,"5/17/2022, 12:00:00 AM",Pre-sale: 0.03 ETH
Raptor Pack,Solana,https://twitter.com/raptorpacknft,"5/17/2022, 1:00:00 AM",Sale: 1.25 SOL
DAW World,Ethereum,https://twitter.com/daw_world,"5/17/2022, 10:00:00 AM",Pre-sale: 0.059 ETH
Fat Cats,Ethereum,https://twitter.com/FatCatsDao,"5/17/2022, 4:00:00 PM",Sale: 0.08 ETH
DegenSOL NFT,Solana,https://degensolnft.com/twitter,"5/17/2022, 6:20:00 PM",Pre-sale: 1 SOL
Baby Mini Monkeys,Ethereum,https://twitter.com/minimonkeymafia,"5/17/2022, 7:00:00 PM",Sale: 0.04 ETH
Squid Academy,Solana,https://twitter.com/Squid_Academy,"5/17/2022, 8:00:00 PM",Sale: 1 SOL
ZOMBIE TURTLE,Solana,https://twitter.com/ZombieTurtleNFT,"5/18/2022, 12:00:00 AM",Sale: 1 SOL
Influencer of the BB01,Ethereum,https://twitter.com/BB01NFT,"5/18/2022, 2:00:00 PM",Sale: 0.3 ETH
Little Women,Ethereum,https://twitter.com/LittleWomen_NFT,"5/18/2022, 6:00:00 PM",Sale: 0.08 ETH
Droopy Apes,Ethereum,https://twitter.com/DroopyApes,"5/18/2022, 7:00:00 PM",Pre-sale: 0.06 ETH
ToyTigerClub,Solana,https://twitter.com/ToyTigerClub,"5/18/2022, 8:00:00 PM",Sale: 1.25 SOL
MetaVolution,Ethereum,https://twitter.com/MetaVolutionNFT,"5/19/2022, 12:00:00 AM",Sale: 0.15 ETH
MirageLand,Ethereum,https://twitter.com/MirageLand_NFT,"5/19/2022, 4:00:00 PM",Sale: 0.01 ETH
AIKO Shades,Solana,https://twitter.com/aikonft,"5/19/2022, 6:00:00 PM",Pre-sale: 1.69 SOL
 CyberPunk COMIC,Ethereum,https://twitter.com/NftZoko,"5/20/2022, 2:00:00 AM",Pre-sale: 0.025 ETH
CryptoDinos,Solana,https://twitter.com/cryptod1nos,"5/20/2022, 12:00:00 PM",Sale: 1 SOL
Labyrinthine Unreal,Ethereum,https://twitter.com/LabyrinthUnreal,"5/20/2022, 1:00:00 PM",Sale: 0.15 ETH
Meta Hookahs,Ethereum,https://twitter.com/MetaHookahs,"5/20/2022, 2:00:00 PM",Pre-sale: 0.055 ETH
DreamyGirls,Ethereum,https://twitter.com/DreamyGirlsNFT,"5/20/2022, 4:00:00 PM",Pre-sale: 0.09 ETH
Rotten Ville Bust Sculptures,Solana,https://twitter.com/rotten_ville,"5/20/2022, 5:00:00 PM",Sale: 0 SOL
Winto,Solana,https://twitter.com/Winto_io,"5/20/2022, 8:00:00 PM",Sale: 2 SOL
Homaland Club,Ethereum,https://twitter.com/homaland_nft,"5/20/2022, 8:00:00 PM",Sale: 0.07 ETH
Fancy Sloth Club,Solana,https://twitter.com/FancySlothClub,"5/21/2022, 12:00:00 AM",Sale: 0.33 SOL
ApeVampires,Ethereum,https://twitter.com/ApeVampires ,"5/21/2022, 3:00:00 PM",Sale: 0.07 ETH
Ether Goddess,Ethereum,https://twitter.com/ethergoddessnft,"5/21/2022, 5:00:00 PM",Sale: 0.08 ETH
Cyber Rhino Squad,Ethereum,https://twitter.com/CyberRhinoSquad,"5/21/2022, 9:00:00 PM",Sale: 0.1 ETH
Bad Kid Club,Ethereum,https://twitter.com/badkidclubnft,"5/22/2022, 8:00:00 AM",Pre-sale: 0.03 ETH
MonkChains Genesis,Ethereum,https://twitter.com/monkchains,"5/22/2022, 3:00:00 PM",Pre-sale: 0.04 ETH
Meta Cuties,Ethereum,https://twitter.com/MetaCutiesNFT,"5/22/2022, 4:00:00 PM",Pre-sale: 0.05 ETH
Final Humans,Solana,https://twitter.com/FinalHumans,"5/22/2022, 7:00:00 PM",Sale: 1.5 SOL
Awesome Possums,Ethereum,https://twitter.com/1_AwesomePossum,"5/23/2022, 12:00:00 PM",Sale: 0.08 ETH
GYM RAT ELEPHANTS MAIN FORCE,Ethereum,https://twitter.com/gymratelephants,"5/23/2022, 4:00:00 PM",Sale: 0.08 ETH
Otters Universe,Ethereum,http://twitter.com/otters_universe,"5/24/2022, 12:00:00 PM",Pre-sale: 0.05 ETH
HUES,Ethereum,https://twitter.com/huesnft,"5/25/2022, 4:00:00 AM",Sale: 0.07 ETH
11 Captain's Club,Ethereum,https://twitter.com/11CaptainsClub,"5/25/2022, 11:00:00 AM",Sale: 3 ETH
Xkart Racing,Xkart Racing,https://twitter.com/XkartR,"5/25/2022, 5:00:00 PM",Sale: 2 AVAX
PvPWorlds,Ethereum,https://twitter.com/PvPWorldsNFT,"5/25/2022, 6:00:00 PM",Sale: 0.08 ETH
DummyVegs,Solana,https://twitter.com/dummy_vegs,"5/25/2022, 6:00:00 PM",Sale: 0.55 SOL
Denizen,Ethereum,https://twitter.com/denizenio,"5/25/2022, 6:00:00 PM",Sale: 0.1 ETH
Pig Boss Club,Ethereum,https://twitter.com/PigBossClub,"5/25/2022, 7:00:00 PM",Pre-sale: 0.055 ETH
PHASMA,Ethereum,https://twitter.com/phasmafuture,"5/27/2022, 12:00:00 AM",Sale: 0.01 ETH
ROYALTY BLACK CARD,Ethereum,https://twitter.com/RoyalBlackCard,"5/28/2022, 12:00:00 AM",Sale: 1.0 ETH
Bona Parks,Solana,https://twitter.com/bona_parks,"5/28/2022, 12:30:00 PM",Sale: 1 SOL
Anima,Ethereum,https://twitter.com/animaverse_,"5/28/2022, 10:00:00 PM",Pre-sale: 0.08 ETH
Bat Legends | Pixel Bats,Solana,https://twitter.com/BatLegendsOF,"5/28/2022, 11:00:00 PM",Sale: 1.5 SOL
Rise of Rhelegus,Ethereum,https://twitter.com/rhelegus,"5/29/2022, 2:00:00 PM",Sale: 0.066 ETH
The Elementhers NFT,Solana,https://twitter.com/elementhers,"5/29/2022, 8:00:00 PM",Pre-sale: 1.5 SOL
Maiko NFT,Ethereum,https://twitter.com/NFTgeisha,"5/30/2022, 1:00:00 AM",Sale: 0 ETH
Bad Bulls,Ethereum,https://twitter.com/badbullsnft,"5/30/2022, 10:00:00 AM",Pre-sale: 0.05 ETH
Blood of Yakuza,Solana,https://twitter.com/BofyGlobal,"5/30/2022, 3:00:00 PM",Sale: 0.77 SOL
Cat Mobstaz,Ethereum,https://twitter.com/catmobstaz,"5/30/2022, 10:00:00 PM",Sale: 0.25 ETH
GameHub,Solana,https://twitter.com/GameHubNFT,"5/31/2022, 9:09:00 AM",Sale: 1 SOL
ZelenskiyNFT,Ethereum,https://twitter.com/zelenskiynft,"5/31/2022, 3:00:00 PM",Sale: 0.2 ETH
CryptoClovers,CryptoClovers,https://twitter.com/quadrifoliumio,"6/1/2022, 6:00:00 PM",Sale: 0.5 BNB
PandaQ,Ethereum,https://twitter.com/pandaqio,"6/1/2022, 11:00:00 PM",Pre-sale: 0.2 ETH
Dribblie,Ethereum,https://twitter.com/DribblieGame,"6/2/2022, 8:00:00 PM",Pre-sale: 0.08 ETH
OnlyGirl,Ethereum,https://twitter.com/NFTOnlyGirl,"6/4/2022, 5:00:00 PM",Sale: 0.1 ETH
Primitive Club,Ethereum,https://twitter.com/primitive_club,"6/4/2022, 10:00:00 PM",Pre-sale: 0.05 ETH
Myworld,Myworld,https://twitter.com/myworld_nft,"6/6/2022, 12:00:00 PM",Pre-sale: 77 MATIC
Harvest Dao NFTs,Ethereum,https://twitter.com/Harvest_Dao,"6/15/2022, 5:00:00 PM",Sale: 0.15 ETH
SOLPARK NFT,Solana,https://twitter.com/Solpark_nft,"6/16/2022, 6:20:00 PM",Pre-sale: 1 SOL
Club Nirvana,Ethereum,https://twitter.com/ClubNirvanaNFT,"6/18/2022, 8:00:00 AM",Sale: 1.0 SOL
Tsukino Neko,Solana,https://twitter.com/Tsukiversenft,"6/22/2022, 3:00:00 AM",Sale: 1.3 SOL
Rich Rhino Club,Ethereum,https://twitter.com/richrhinoclub,"6/30/2022, 9:00:00 PM",Pre-sale: 0.035 ETH
The Legend of Talkado,The Legend of Talkado,https://twitter.com/TalkadoNFT,"7/5/2022, 10:59:00 PM",Pre-sale: 0.25 BNB
DBAG,Ethereum,https://twitter.com/dbagnft,"7/8/2022, 11:00:00 PM",Sale: 0.15 ETH
Dapper Ape High Society,Solana,https://twitter.com/DAHSNFT,"12/20/2022, 2:00:00 AM",Sale: 0.75 SOL
